,PERMNO,DATE,SHRCD,HEXCD,RET,date
106,10001.0,1993-03-31,11.0,2.0,0.0110526317730546,1993-03-31
107,10001.0,1993-04-30,11.0,2.0,0.07017543911933899,1993-04-30
108,10001.0,1993-05-28,11.0,2.0,-0.008196720853447914,1993-05-28
109,10001.0,1993-06-30,11.0,2.0,0.10247933864593506,1993-06-30
110,10001.0,1993-07-30,11.0,2.0,-0.007575757801532745,1993-07-30
111,10001.0,1993-08-31,11.0,2.0,-0.030534351244568825,1993-08-31
112,10001.0,1993-09-30,11.0,2.0,0.06614173203706741,1993-09-30
113,10001.0,1993-10-29,11.0,2.0,0.02985074557363987,1993-10-29
114,10001.0,1993-11-30,11.0,2.0,-0.014492753893136978,1993-11-30
115,10001.0,1993-12-31,11.0,2.0,0.09117647260427475,1993-12-31
116,10001.0,1994-01-31,11.0,2.0,-0.0476190485060215,1994-01-31
117,10001.0,1994-02-28,11.0,2.0,0.0,1994-02-28
118,10001.0,1994-03-31,11.0,2.0,-0.004285714589059353,1994-03-31
119,10001.0,1994-04-29,11.0,2.0,-0.14492753148078918,1994-04-29
120,10001.0,1994-05-31,11.0,2.0,0.06779661029577255,1994-05-31
121,10001.0,1994-06-30,11.0,2.0,0.10730158537626266,1994-06-30
122,10001.0,1994-07-29,11.0,2.0,0.07246376574039459,1994-07-29
123,10001.0,1994-08-31,11.0,2.0,-0.027027027681469917,1994-08-31
124,10001.0,1994-09-30,11.0,2.0,0.038333334028720856,1994-09-30
125,10001.0,1994-10-31,11.0,2.0,-0.054054055362939835,1994-10-31
126,10001.0,1994-11-30,11.0,2.0,-0.04285714402794838,1994-11-30
127,10001.0,1994-12-30,11.0,2.0,-0.03343283757567406,1994-12-30
128,10001.0,1995-01-31,11.0,2.0,-0.03125,1995-01-31
129,10001.0,1995-02-28,11.0,2.0,-0.026209676638245583,1995-02-28
130,10001.0,1995-03-31,11.0,2.0,0.0063768113031983376,1995-03-31
131,10001.0,1995-04-28,11.0,2.0,0.0,1995-04-28
132,10001.0,1995-05-31,11.0,2.0,0.05000000074505806,1995-05-31
133,10001.0,1995-06-30,11.0,2.0,0.06031746044754982,1995-06-30
134,10001.0,1995-07-31,11.0,2.0,0.0,1995-07-31
135,10001.0,1995-08-31,11.0,2.0,-0.03030303120613098,1995-08-31
136,10001.0,1995-09-29,11.0,2.0,0.04374999925494194,1995-09-29
137,10001.0,1995-10-31,11.0,2.0,-0.03030303120613098,1995-10-31
138,10001.0,1995-11-30,11.0,2.0,0.09375,1995-11-30
139,10001.0,1995-12-29,11.0,2.0,0.08285713940858841,1995-12-29
140,10001.0,1996-01-31,11.0,2.0,-0.02666666731238365,1996-01-31
141,10001.0,1996-02-29,11.0,2.0,0.013698630034923553,1996-02-29
142,10001.0,1996-03-29,11.0,2.0,0.03614864870905876,1996-03-29
143,10001.0,1996-04-30,11.0,2.0,-0.07084019482135773,1996-04-30
144,10001.0,1996-05-31,11.0,2.0,-0.021276595070958138,1996-05-31
145,10001.0,1996-06-28,11.0,2.0,-0.06028985604643822,1996-06-28
146,10001.0,1996-07-31,11.0,2.0,0.0234375,1996-07-31
147,10001.0,1996-08-30,11.0,2.0,0.038167938590049744,1996-08-30
148,10001.0,1996-09-30,11.0,2.0,0.04176470637321472,1996-09-30
149,10001.0,1996-10-31,11.0,2.0,-0.02857142873108387,1996-10-31
150,10001.0,1996-11-29,11.0,2.0,0.029411764815449715,1996-11-29
151,10001.0,1996-12-31,11.0,2.0,-0.05942857265472412,1996-12-31
152,10001.0,1997-01-31,11.0,2.0,0.0615384615957737,1997-01-31
153,10001.0,1997-02-28,11.0,2.0,0.0,1997-02-28
154,10001.0,1997-03-31,11.0,2.0,0.012173912487924099,1997-03-31
155,10001.0,1997-04-30,11.0,2.0,0.0,1997-04-30
156,10001.0,1997-05-30,11.0,2.0,0.0,1997-05-30
157,10001.0,1997-06-30,11.0,2.0,-0.03072463721036911,1997-06-30
158,10001.0,1997-07-31,11.0,2.0,0.04545454680919647,1997-07-31
159,10001.0,1997-08-29,11.0,2.0,0.014492753893136978,1997-08-29
160,10001.0,1997-09-30,11.0,2.0,0.02685714326798916,1997-09-30
161,10001.0,1997-10-31,11.0,2.0,0.0,1997-10-31
162,10001.0,1997-11-28,11.0,2.0,-0.014084506779909134,1997-11-28
163,10001.0,1997-12-31,11.0,2.0,0.04114285856485367,1997-12-31
164,10001.0,1998-01-30,11.0,2.0,0.0,1998-01-30
165,10001.0,1998-02-27,11.0,2.0,-0.0069444444961845875,1998-02-27
166,10001.0,1998-03-31,11.0,2.0,-0.00867132842540741,1998-03-31
167,10001.0,1998-04-30,11.0,2.0,0.0071428571827709675,1998-04-30
168,10001.0,1998-05-29,11.0,2.0,-0.014184396713972092,1998-05-29
169,10001.0,1998-06-30,11.0,2.0,0.006043165922164917,1998-06-30
170,10001.0,1998-07-31,11.0,2.0,0.014492753893136978,1998-07-31
171,10001.0,1998-08-31,11.0,2.0,0.0,1998-08-31
172,10001.0,1998-09-30,11.0,2.0,0.07028571516275406,1998-09-30
173,10001.0,1998-10-30,11.0,2.0,0.0,1998-10-30
174,10001.0,1998-11-30,11.0,2.0,0.020270269364118576,1998-11-30
175,10001.0,1998-12-31,11.0,2.0,0.03205297887325287,1998-12-31
176,10001.0,1999-01-29,11.0,2.0,0.0,1999-01-29
177,10001.0,1999-02-26,11.0,2.0,-0.09090909361839294,1999-02-26
178,10001.0,1999-03-31,11.0,2.0,0.013142857700586319,1999-03-31
179,10001.0,1999-04-30,11.0,2.0,0.014285714365541935,1999-04-30
180,10001.0,1999-05-28,11.0,2.0,-0.0211267601698637,1999-05-28
181,10001.0,1999-06-30,11.0,2.0,0.00661870464682579,1999-06-30
182,10001.0,1999-07-30,11.0,2.0,0.021739130839705467,1999-07-30
183,10001.0,1999-08-31,11.0,2.0,-0.007092198356986046,1999-08-31
184,10001.0,1999-09-30,11.0,2.0,-0.07199999690055847,1999-09-30
185,10001.0,1999-10-29,11.0,2.0,0.0859375,1999-10-29
186,10001.0,1999-11-30,11.0,2.0,-0.003597122384235263,1999-11-30
187,10001.0,1999-12-31,11.0,2.0,-0.004187725950032473,1999-12-31
188,10001.0,2000-01-31,11.0,2.0,-0.04411764815449715,2000-01-31
189,10001.0,2000-02-29,11.0,2.0,0.015384615398943424,2000-02-29
190,10001.0,2000-03-31,11.0,2.0,-0.015757575631141663,2000-03-31
191,10001.0,2000-04-28,11.0,2.0,0.01171875,2000-04-28
192,10001.0,2000-05-31,11.0,2.0,-0.023166023194789886,2000-05-31
193,10001.0,2000-06-30,11.0,2.0,0.02766798436641693,2000-06-30
194,10001.0,2000-07-31,11.0,2.0,-0.015625,2000-07-31
195,10001.0,2000-08-31,11.0,2.0,0.0476190485060215,2000-08-31
196,10001.0,2000-09-29,11.0,2.0,0.07575757801532745,2000-09-29
197,10001.0,2000-10-31,11.0,2.0,0.02857142873108387,2000-10-31
198,10001.0,2000-11-30,11.0,2.0,0.0625,2000-11-30
199,10001.0,2000-12-29,11.0,2.0,0.03267974033951759,2000-12-29
200,10001.0,2001-01-31,11.0,2.0,0.012820512987673283,2001-01-31
201,10001.0,2001-02-28,11.0,2.0,-0.012658228166401386,2001-02-28
202,10001.0,2001-03-30,11.0,2.0,0.03846153989434242,2001-03-30
203,10001.0,2001-04-30,11.0,2.0,-0.02500000037252903,2001-04-30
204,10001.0,2001-05-31,11.0,2.0,0.09743587672710419,2001-05-31
205,10001.0,2001-06-29,11.0,2.0,0.11495330929756165,2001-06-29
206,10001.0,2001-07-31,11.0,2.0,0.025423744693398476,2001-07-31
207,10001.0,2001-08-31,11.0,2.0,0.020661156624555588,2001-08-31
208,10001.0,2001-09-28,11.0,2.0,-0.021862395107746124,2001-09-28
209,10001.0,2001-10-31,11.0,2.0,-0.03347277268767357,2001-10-31
210,10001.0,2001-11-30,11.0,2.0,-0.004329020623117685,2001-11-30
211,10001.0,2001-12-31,11.0,2.0,0.006956504657864571,2001-12-31
212,10001.0,2002-01-31,11.0,2.0,-0.013100403361022472,2002-01-31
213,10001.0,2002-02-28,11.0,2.0,-0.053097378462553024,2002-02-28
214,10001.0,2002-03-28,11.0,2.0,-0.015887869521975517,2002-03-28
215,10001.0,2002-04-30,11.0,2.0,-0.043269213289022446,2002-04-30
216,10001.0,2002-05-31,11.0,2.0,0.014824124984443188,2002-05-31
217,10001.0,2002-06-28,11.0,2.0,-0.024015802890062332,2002-06-28
218,10001.0,2002-07-31,11.0,2.0,-0.09979426115751266,2002-07-31
219,10001.0,2002-08-30,11.0,2.0,0.01714281365275383,2002-08-30
220,10001.0,2002-09-30,11.0,2.0,-0.0016853498527780175,2002-09-30
221,10001.0,2002-10-31,11.0,2.0,-0.01942858099937439,2002-10-31
222,10001.0,2002-11-29,11.0,2.0,-0.02389276586472988,2002-11-29
223,10001.0,2002-12-31,11.0,2.0,-0.10614927113056183,2002-12-31
224,10001.0,2003-01-31,11.0,2.0,0.14814308285713196,2003-01-31
225,10001.0,2003-02-28,11.0,2.0,0.035545047372579575,2003-02-28
226,10001.0,2003-03-31,11.0,2.0,-0.1092676967382431,2003-03-31
227,10001.0,2003-04-30,11.0,2.0,-0.32418301701545715,2003-04-30
228,10001.0,2003-05-30,11.0,2.0,0.6324950456619263,2003-05-30
229,10001.0,2003-06-30,11.0,2.0,-0.2879146337509155,2003-06-30
230,10001.0,2003-07-31,11.0,2.0,0.01830277033150196,2003-07-31
231,10001.0,2003-08-29,11.0,2.0,0.08660134673118591,2003-08-29
232,10001.0,2003-09-30,11.0,2.0,0.03759398311376572,2003-09-30
233,10001.0,2003-10-31,11.0,2.0,-0.1304347962141037,2003-10-31
234,10001.0,2003-11-28,11.0,2.0,-0.005000034812837839,2003-11-28
235,10001.0,2003-12-31,11.0,2.0,-0.0033500806894153357,2003-12-31
236,10001.0,2004-01-30,11.0,2.0,0.010084104724228382,2004-01-30
237,10001.0,2004-02-27,11.0,2.0,0.07986681163311005,2004-02-27
238,10001.0,2004-03-31,11.0,2.0,0.11710327863693237,2004-03-31
239,10001.0,2004-04-30,11.0,2.0,-0.01241381373256445,2004-04-30
240,10001.0,2004-05-28,11.0,2.0,-0.07960889488458633,2004-05-28
241,10001.0,2004-06-30,11.0,2.0,0.010622108355164528,2004-06-30
242,10001.0,2004-07-30,11.0,2.0,0.051051076501607895,2004-07-30
243,10001.0,2004-08-31,11.0,2.0,0.004285744391381741,2004-08-31
244,10001.0,2004-09-30,11.0,2.0,-0.13229022920131683,2004-09-30
245,10001.0,2004-10-29,11.0,2.0,-0.05573765188455582,2004-10-29
246,10001.0,2004-11-30,11.0,2.0,0.031249968335032463,2004-11-30
247,10001.0,2004-12-31,11.0,2.0,0.16161616146564484,2004-12-31
248,10001.0,2005-01-31,11.0,2.0,-0.04057973995804787,2005-01-31
249,10001.0,2005-02-28,11.0,2.0,-0.04516613110899925,2005-02-28
250,10001.0,2005-03-31,11.0,2.0,0.12482202798128128,2005-03-31
