,playerID,H_x,AB,Average
1804,corrapa01,166,767,0.21642764015645372
1805,correca01,399,1386,0.2878787878787879
1807,correvi01,259,1132,0.22879858657243815
1810,corrire01,131,640,0.2046875
1813,coscajo01,157,651,0.2411674347158218
1814,coscape01,728,2992,0.24331550802139038
1818,costech01,219,806,0.271712158808933
1821,cotahu01,121,519,0.23314065510597304
1828,cottich01,348,1584,0.2196969696969697
1829,cottohe01,569,2178,0.2612488521579431
1830,coughbi01,972,3854,0.25220550077841203
1833,coulsbo01,163,692,0.23554913294797689
1835,counscr01,1208,4741,0.2547985657034381
1836,courtcl01,750,2796,0.26824034334763946
1837,courter01,471,1921,0.24518479958355024
1842,covinwe01,832,2978,0.2793821356615178
1843,cowanbi01,281,1190,0.2361344537815126
1845,cowenal01,1494,5534,0.2699674737983376
1846,cowgico01,161,689,0.23367198838896952
1847,coxbi02,974,3712,0.26239224137931033
1848,coxbo01,141,628,0.22452229299363058
1850,coxdi01,261,832,0.3137019230769231
1854,coxla01,182,825,0.2206060606060606
1855,coxst01,324,1239,0.26150121065375304
1856,coxte02,189,771,0.245136186770428
1858,cozarza01,703,2767,0.25406577520780627
1860,crabtes01,396,1408,0.28125
1862,craftha01,533,2104,0.25332699619771865
1863,craigal01,506,1831,0.2763517203713818
1866,crandde01,1276,5026,0.25387982491046557
1868,cranesa01,276,1359,0.20309050772626933
1870,cravaga01,1134,3951,0.2870159453302961
1871,cravebi01,455,1567,0.29036375239310785
1872,crawfbr01,806,3199,0.251953735542357
1873,crawfca02,1931,6655,0.2901577761081893
1880,crawfpa01,182,651,0.27956989247311825
1881,crawfsa01,2961,9570,0.3094043887147335
1882,crawfwi01,921,3435,0.26812227074235806
1883,creamge01,400,1862,0.21482277121374865
1884,credejo01,787,3101,0.25378910029022894
1885,creebi01,761,2603,0.2923549750288129
1893,crespcr01,240,911,0.26344676180021953
1895,crigelo01,709,3202,0.22142410993129294
1900,crispco01,1572,5930,0.2650927487352445
1903,critzhu01,1591,5930,0.26829679595278244
1905,croftar01,101,517,0.195357833655706
1908,cromawa01,1104,3927,0.28113063407181055
1910,crometr01,118,524,0.22519083969465647
1914,croncj01,358,1366,0.26207906295754024
1918,cronijo01,2285,7579,0.30149096186832036
1919,crookja01,671,2783,0.24110671936758893
1921,crosbbo01,605,2559,0.23642047674872999
1923,crosbed01,149,677,0.22008862629246675
1924,crosefr01,1541,6277,0.245499442408794
1931,crossla01,2651,9084,0.29183179216204314
1932,crossmo01,1365,5828,0.23421413864104323
1934,croucfr01,235,935,0.25133689839572193
1936,crousbu01,342,1306,0.26186830015313933
1938,crowege01,467,1727,0.2704111175448755
1939,crowetr01,196,818,0.2396088019559902
1940,crowlbi01,540,2057,0.2625182304326689
1943,crowlte01,379,1518,0.24967061923583664
1945,cruiswa01,644,2321,0.2774666092201637
1949,cruzde01,1109,4124,0.268913676042677
1952,cruzhe01,361,1607,0.22464219041692596
1955,cruzja01,176,729,0.24142661179698216
1956,cruzjo01,2251,7917,0.2843248705317671
1957,cruzjo02,1167,4724,0.24703640982218458
1958,cruzju01,916,3859,0.23736719357346464
1959,cruzlu01,143,610,0.23442622950819672
1960,cruzne02,1447,5239,0.2761977476617675
1962,cruzto03,130,595,0.2184873949579832
1963,cubbami01,503,1951,0.25781650435674014
1965,cuccito01,1729,6184,0.27959249676584735
1969,culbele01,324,1217,0.26622843056696793
1970,culledi01,372,1527,0.24361493123772102
1972,cullero01,1072,3879,0.27635988656870325
1973,culleti01,387,1761,0.21976149914821125
1977,cummimi01,286,1113,0.25696316262353996
1980,cunnibi02,270,945,0.2857142857142857
1981,cunnijo01,980,3362,0.2914931588340274
1989,curtich01,1061,4017,0.26412745830221557
1996,curtrgu01,294,1065,0.27605633802816903
1999,custja01,510,2107,0.24205030849549122
2000,cuthbch01,173,664,0.2605421686746988
2001,cuthbne01,537,2114,0.2540208136234626
2002,cutshge01,1487,5621,0.2645436755025796
2003,cuyleki01,2299,7161,0.3210445468509985
2004,cuylemi01,329,1386,0.23737373737373738
2006,dadepa01,355,1313,0.27037319116527037
2009,dahlebi01,2461,9036,0.2723550243470562
2010,dahlgba01,1056,4045,0.2610630407911001
2012,dailyco01,541,2214,0.24435411020776873
2018,daleype01,259,1084,0.238929889298893
2020,dalledo01,520,1945,0.26735218508997427
2022,dalryab01,1202,4172,0.288111217641419
2024,dalrycl01,710,3042,0.23339907955292571
2025,daltoja01,333,1163,0.2863284608770421
2029,dalyto01,1583,5701,0.27767058410805123
2030,dalyto02,129,540,0.2388888888888889
2033,damonjo01,2769,9736,0.28440838126540674
2035,daniebe01,486,1903,0.25538623226484497
2038,danieka01,666,2338,0.2848588537211292
2043,danniha01,847,2971,0.2850891955570515
2051,darlide01,151,628,0.24044585987261147
2053,darnatr01,324,1322,0.24508320726172467
2056,darrmi02,148,542,0.2730627306273063
2059,daubabr01,525,2025,0.25925925925925924
2061,daubeja01,2326,7673,0.3031408836178809
2062,dauerri01,984,3829,0.25698615826586574
2065,daughja01,194,759,0.25559947299077734
2066,daultda01,891,3630,0.24545454545454545
2069,davanje02,333,1288,0.25854037267080743
2070,davenji01,1142,4427,0.2579625028235826
2072,davidbi01,190,808,0.23514851485148514
2076,davidma01,149,661,0.2254160363086233
2078,davisal01,1189,4240,0.2804245283018868
2079,davisbe01,358,1512,0.23677248677248677
2082,davisbo02,131,665,0.19699248120300752
2084,davisbr02,141,543,0.2596685082872928
2088,davisdi02,323,1217,0.2654067378800329
2090,daviser01,1430,5321,0.26874647622627323
2092,davisgl01,965,3719,0.2594783543963431
2093,davisha01,1841,6653,0.27671727040432886
2094,davisha02,320,1213,0.26380873866446825
2095,davisik01,143,609,0.2348111658456486
2100,davisjo02,877,3585,0.24463040446304044
2101,davisju01,468,1723,0.2716192687173535
2102,daviskh01,534,2150,0.2483720930232558
2103,daviski01,515,1824,0.28234649122807015
2104,davisle01,338,1296,0.26080246913580246
2106,davismi02,778,2999,0.2594198066022007
2109,davisra01,1062,4023,0.2639821029082774
2110,davisro01,199,853,0.23329425556858147
2111,davisru01,508,1980,0.25656565656565655
2112,davissp01,1312,4255,0.30834312573443007
2116,davisto02,2121,7223,0.2936452997369514
2119,daviswi02,2561,9174,0.27915849138870724
2121,dawsoan01,2774,9927,0.279439911352876
2122,daybo01,295,1151,0.2562988705473501
2124,dealch01,752,2930,0.2566552901023891
2129,deanto01,95,529,0.17958412098298676
2133,deaslpa01,358,1466,0.24420190995907232
2134,deazaal01,669,2575,0.25980582524271845
2135,deberha01,494,1850,0.267027027027027
2138,decindo01,1505,5809,0.2590807367877432
2141,deckege01,756,2739,0.276013143483023
2142,deckeha01,138,570,0.24210526315789474
2143,deckest01,152,688,0.22093023255813954
2147,deerro01,853,3881,0.21978871424890492
2154,dehlmhe01,262,1219,0.21493027071369974
2159,dejesda01,1434,5220,0.2747126436781609
2160,dejesiv01,1167,4602,0.25358539765319427
2165,delahed01,2597,7510,0.34580559254327564
2166,delahfr01,223,986,0.22616632860040567
2167,delahjo01,222,932,0.23819742489270387
2168,delahmi01,280,1114,0.2513464991023339
2171,delanbi02,173,598,0.28929765886287623
2175,delgaca01,2038,7283,0.2798297404915557
2177,delgawi01,136,542,0.25092250922509224
2178,delgrbo01,454,1982,0.22906155398587286
2182,delluda01,736,2873,0.2561782109293422
2187,delsiji01,627,2461,0.25477448191791957
2188,demaejo01,813,3441,0.23626852659110723
2190,demarfr02,1241,4144,0.29946911196911197
2192,demetdo01,912,3443,0.264885274469939
2194,demmira01,419,1631,0.2568976088289393
2195,demonge01,1096,3615,0.3031811894882434
2202,dentbu01,1114,4512,0.24689716312056736
2203,dentesa01,585,2320,0.2521551724137931
2208,dernibo01,634,2483,0.25533628674989933
2209,derosma01,975,3633,0.26837324525185796
2212,derryru01,124,553,0.22423146473779385
2214,desauge01,469,2012,0.2331013916500994
2215,deshide01,1548,5779,0.2678664128741997
2216,deshide02,250,983,0.254323499491353
2217,desmoia01,1188,4444,0.26732673267326734
2218,destror01,184,765,0.24052287581699347
2223,devermi01,949,3740,0.25374331550802137
2227,devliar01,1185,4412,0.2685856754306437
2232,devorjo01,520,1874,0.27748132337246534
2235,dewitbl01,288,1119,0.257372654155496
2236,dextech01,749,2869,0.2610665737190659
2237,diazal01,195,816,0.23897058823529413
2238,diazal02,195,690,0.2826086956521739
2240,diazbo01,834,3274,0.2547342700061087
2245,diazei01,523,2061,0.2537603105288695
2250,diazma01,198,773,0.25614489003880986
2251,diazma02,546,1881,0.2902711323763955
2252,diazmi01,169,683,0.24743777452415813
2257,dickebi01,1969,6300,0.31253968253968256
2258,dickebu01,500,1762,0.28376844494892167
2259,dickech01,185,721,0.2565880721220527
2260,dickeco01,546,1952,0.2797131147540984
2263,dicksjo01,273,990,0.27575757575757576
2265,didiebo01,172,751,0.22902796271637815
2267,dierich01,411,1648,0.24939320388349515
2268,dietrde01,345,1380,0.25
2269,dietzdi01,478,1829,0.2613449972662657
2272,difelmi01,368,1558,0.2362002567394095
2277,dillast01,246,1013,0.2428430404738401
2278,dillhpi01,134,600,0.22333333333333333
2279,dillibo01,888,2904,0.30578512396694213
2283,dillopo01,298,1181,0.2523285351397121
2284,dilonmi01,530,2000,0.265
2285,dimagdo01,1680,5640,0.2978723404255319
2286,dimagjo01,2214,6821,0.32458583785368716
2287,dimagvi01,959,3849,0.24915562483762016
2290,dingeva01,146,501,0.29141716566866266
2293,dirksan01,268,971,0.2760041194644696
2294,disarga01,966,3744,0.25801282051282054
2297,dittmja01,283,1218,0.23234811165845648
2302,dobbsgr01,548,2097,0.2613257033857892
2303,dobbsjo01,585,2224,0.2630395683453237
2304,dobyla01,1515,5348,0.2832834704562453
2309,doerrbo01,2042,7093,0.28788946849006064
2312,dolanco02,299,1187,0.2518955349620893
2313,dolanjo02,247,1152,0.2144097222222222
2315,doljafr01,151,561,0.26916221033868093
2318,dominma01,294,1272,0.23113207547169812
2319,donahji01,298,1275,0.23372549019607844
2320,donahji02,731,2862,0.2554157931516422
2324,donahti01,354,1500,0.236
2325,donalja01,142,552,0.2572463768115942
2326,donaljo01,292,1225,0.2383673469387755
2327,donaljo02,860,3105,0.27697262479871176
2329,donneji01,549,2388,0.22989949748743718
2338,donovpa01,2256,7505,0.300599600266489
2339,dooinre01,961,4004,0.24000999000999002
2340,doolami01,1376,5977,0.2302158273381295
2343,doranbi02,1366,5131,0.26622490742545313
2345,dorgaje01,150,531,0.2824858757062147
